puzzle_number,size,solved,valid,time,generations,solution
1,4,True,True,0.0176,1,"[[1, 2, 4, 3], [3, 4, 1, 2], [2, 1, 3, 4], [4, 3, 2, 1]]"
2,4,True,True,0.0193,1,"[[1, 4, 2, 3], [2, 3, 4, 1], [4, 1, 3, 2], [3, 2, 1, 4]]"
3,4,True,True,0.0178,1,"[[3, 4, 1, 2], [1, 2, 3, 4], [4, 3, 2, 1], [2, 1, 4, 3]]"
4,4,True,True,0.0161,1,"[[1, 3, 4, 2], [4, 2, 1, 3], [3, 1, 2, 4], [2, 4, 3, 1]]"
5,4,True,True,0.0183,1,"[[2, 4, 3, 1], [3, 1, 2, 4], [4, 2, 1, 3], [1, 3, 4, 2]]"
6,4,True,True,0.0181,1,"[[1, 2, 3, 4], [3, 4, 1, 2], [2, 3, 4, 1], [4, 1, 2, 3]]"
7,4,True,True,0.0204,1,"[[4, 2, 3, 1], [3, 1, 4, 2], [2, 4, 1, 3], [1, 3, 2, 4]]"
8,4,False,False,54.1666,500,
9,4,True,True,0.0134,1,"[[4, 2, 1, 3], [3, 1, 4, 2], [2, 4, 3, 1], [1, 3, 2, 4]]"
10,4,True,True,0.0147,1,"[[1, 2, 4, 3], [4, 3, 1, 2], [2, 1, 3, 4], [3, 4, 2, 1]]"
11,4,True,True,0.0199,1,"[[4, 3, 2, 1], [2, 1, 4, 3], [3, 2, 1, 4], [1, 4, 3, 2]]"
12,4,True,True,0.0132,1,"[[2, 1, 4, 3], [4, 3, 1, 2], [1, 2, 3, 4], [3, 4, 2, 1]]"
13,4,True,True,0.0150,1,"[[1, 4, 3, 2], [3, 2, 1, 4], [4, 3, 2, 1], [2, 1, 4, 3]]"
14,4,True,True,0.0150,1,"[[1, 4, 3, 2], [3, 2, 1, 4], [2, 1, 4, 3], [4, 3, 2, 1]]"
15,4,True,True,0.0160,1,"[[3, 1, 2, 4], [2, 4, 3, 1], [1, 2, 4, 3], [4, 3, 1, 2]]"
